project,rule,severity,line,effort,debt,tags,type,scope,cleanCodeAttribute,quickFixAvailable,cleanCodeAttributeCategory,Software_Quality_Impact,Impact_Severity,message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_35__k0,python:S1481,MINOR,27,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""directions"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_38__k0,python:S117,MINOR,27,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_40__k0,python:S100,MINOR,8,5min,5min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename method ""get_BMI"" to match the regular expression ^[a-z_][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_44__k0,python:S1144,MAJOR,7,2min,2min,unused,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this unused class-private '__format_line_feed' method.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_44__k0,python:S1481,MINOR,20,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""code"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_51__k0,python:S117,MINOR,11,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_51__k0,python:S117,MINOR,28,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this local variable ""P_bar"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_51__k0,python:S117,MINOR,29,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this local variable ""P_e"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_55__k0,python:S1192,CRITICAL,9,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'a|b|a|b|a' 3 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_55__k0,python:S1172,MAJOR,11,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,MEDIUM,"Remove the unused function parameter ""s"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_55__k0,python:S1192,CRITICAL,39,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'a|b|a|b|a|x' 3 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_55__k0,python:S4144,MAJOR,58,15min,15min,"suspicious, duplicate, confusing",CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,MEDIUM,Update this function so that its implementation is not identical to test_palindromic_string_2 on line 54.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_57__k0,python:S3776,CRITICAL,3,6min,6min,brain-overload,CODE_SMELL,MAIN,FOCUSED,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_57__k0,python:S3776,CRITICAL,36,8min,8min,brain-overload,CODE_SMELL,MAIN,FOCUSED,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_58__k0,python:S100,MINOR,20,5min,5min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename method ""generate_playerMap"" to match the regular expression ^[a-z_][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_62__k0,python:S1186,CRITICAL,2,5min,5min,suspicious,CODE_SMELL,MAIN,COMPLETE,FALSE,INTENTIONAL,MAINTAINABILITY,HIGH,"Add a nested comment explaining why this method is empty, or complete the implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_6__k0,python:S100,MINOR,6,5min,5min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename method ""setNum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_70__k0,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""phoneNumber"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_70__k0,python:S116,MINOR,5,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""phoneNumber"" to match the regular expression ^[_a-z][_a-z0-9]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_77__k0,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""SCREEN_WIDTH"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_77__k0,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""BLOCK_SIZE"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_77__k0,python:S117,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this parameter ""SCREEN_HEIGHT"" to match the regular expression ^[_a-z][a-z0-9_]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_80__k0,python:S1192,CRITICAL,11,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,"Define a constant instead of duplicating this literal "" AND "" 3 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_80__k0,python:S1192,CRITICAL,11,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,"Define a constant instead of duplicating this literal "" WHERE "" 3 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_81__k0,python:S1481,MINOR,45,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Remove the unused local variable ""means"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_89__k0,python:S5754,CRITICAL,14,5min,5min,"error-handling, bad-practice, suspicious",CODE_SMELL,MAIN,COMPLETE,FALSE,INTENTIONAL,MAINTAINABILITY,HIGH,Specify an exception class to catch or reraise the exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_89__k0,python:S4144,MAJOR,17,15min,15min,"suspicious, duplicate, confusing",CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,MEDIUM,Update this function so that its implementation is not identical to answer on line 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_89__k0,python:S5754,CRITICAL,21,5min,5min,"error-handling, bad-practice, suspicious",CODE_SMELL,MAIN,COMPLETE,FALSE,INTENTIONAL,MAINTAINABILITY,HIGH,Specify an exception class to catch or reraise the exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_8__k0,python:S1192,CRITICAL,7,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,"Define a constant instead of duplicating this literal ""Invalid amount"" 3 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S1172,MAJOR,9,5min,5min,unused,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,MEDIUM,"Remove the unused function parameter ""encoding"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S1192,CRITICAL,52,8min,8min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal '/foo/bar/' 4 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,54,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertTrue"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,60,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,66,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertTrue"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,72,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,78,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,84,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertFalse"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,90,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertTrue"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_91__k0,python:S5906,MINOR,129,1min,1min,tests,CODE_SMELL,MAIN,CLEAR,FALSE,INTENTIONAL,MAINTAINABILITY,LOW,"Consider using ""assertTrue"" instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_98__k0,python:S1192,CRITICAL,39,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal 'test.xml' 3 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_98__k0,python:S1854,MAJOR,86,1min,1min,"cwe, unused",CODE_SMELL,MAIN,LOGICAL,FALSE,INTENTIONAL,MAINTAINABILITY,MEDIUM,Remove this assignment to local variable 'root'; the value is never used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
